timestamp,packet_size,duration,bytes_sent,bytes_received,protocol,port,source_ip,dest_ip
2026-01-01 00:00:00,1323,0.01013258440193542,3389,955,17,21,192.168.0.94,10.0.3.102
2026-01-01 00:00:01,1620,1.8709191654340835e-05,2079,1854,6,20,192.168.1.80,10.0.1.148
2026-01-01 00:00:02,1087,0.0065966908911504595,2717,725,6,20,192.168.2.22,10.0.2.134
2026-01-01 00:00:03,1518,0.007899891910122175,2332,1013,17,21,192.168.3.72,10.0.3.39
2026-01-01 00:00:04,1260,0.004432354600405266,3376,500,6,24,192.168.4.54,10.0.2.224
2026-01-01 00:00:05,985,0.0037327634639212157,4524,116,6,26,192.168.0.127,10.0.0.241
2026-01-01 00:00:06,915,0.008577622340650744,1500,385,17,27,192.168.4.127,10.0.2.190
2026-01-01 00:00:07,330,0.004583396514390823,285,1367,6,29,192.168.0.95,10.0.0.226
2026-01-01 00:00:08,506,0.008860554832671052,3495,583,6,30,192.168.0.105,10.0.4.38
2026-01-01 00:00:09,1417,0.0108613623839046,2065,394,6,28,192.168.3.50,10.0.3.220
2026-01-01 00:00:10,232,0.006557687602212367,768,1087,17,29,192.168.3.140,10.0.0.147
2026-01-01 00:00:11,303,1.2538674060887964,3057,1740,6,55319,192.168.1.201,10.0.0.138
2026-01-01 00:00:12,1506,1.6421148300635373,4289,720,6,64042,192.168.0.126,10.0.3.244
2026-01-01 00:00:13,990,1.304799865024397,2161,71,17,43403,192.168.0.9,10.0.1.199
2026-01-01 00:00:14,890,0.41629977311153055,3293,1812,6,51826,192.168.0.122,10.0.2.81
2026-01-01 00:00:15,59,0.5470763519226194,946,273,17,53354,192.168.3.50,10.0.3.76
2026-01-01 00:00:16,1377,0.43240721536410054,4926,1343,17,30910,192.168.2.242,10.0.1.99
2026-01-01 00:00:17,893,0.754084075475759,3335,337,6,32787,192.168.0.234,10.0.3.48
2026-01-01 00:00:18,505,0.07520792865208331,4150,1389,17,3194,192.168.4.138,10.0.2.35
2026-01-01 00:00:19,1429,1.2366604096811504,4895,1518,17,33162,192.168.3.119,10.0.3.122
2026-01-01 00:00:20,939,0.6737553147892617,4873,606,6,25002,192.168.2.209,10.0.4.20
2026-01-01 00:00:21,614,1.3116274021403762,1481,165,17,39042,192.168.4.33,10.0.2.192
2026-01-01 00:00:22,1421,0.772695084597557,1901,1567,17,64641,192.168.4.84,10.0.0.166
2026-01-01 00:00:23,926,1.3644698910731223,3451,10,6,49724,192.168.0.132,10.0.2.179
2026-01-01 00:00:24,466,0.6807200278870701,4064,1324,6,3634,192.168.0.162,10.0.2.31
2026-01-01 00:00:25,1341,0.5212050436831388,54,728,6,6175,192.168.1.81,10.0.0.151
2026-01-01 00:00:26,463,0.9927838609196721,1823,800,17,42082,192.168.3.214,10.0.2.248
2026-01-01 00:00:27,1276,1.3855617426547435,3462,101,6,23561,192.168.2.210,10.0.0.50
2026-01-01 00:00:28,44,0.6959053664899479,3079,1448,17,24816,192.168.3.182,10.0.4.96
2026-01-01 00:00:29,178,1.8712897449078114,832,1415,17,20284,192.168.0.75,10.0.4.164
2026-01-01 00:00:30,844,0.07848790389589369,4408,778,17,28671,192.168.4.40,10.0.1.254
2026-01-01 00:00:31,973,0.8354571670568403,2806,213,17,57276,192.168.3.94,10.0.0.37
